Photo shows a shark swimming on a freeway in Houston.,'What is the original source of the image that has been circulated?'| 'Has the image been used in previous online memes or viral spreads?',2. What is the exact location of the freeway where the photo was taken?3. What type of shark is it? 4. Are there any other visible landmarks in the photo? 5. Is the photo a legitimate representation of what it claims to show?6. Who took the photo originally?,1.2282396626803045e-78
"“Jim Renacci’s been a lobbyist even while in Congress.""",'What allows someone to be called a lobbyist?'| 'Was Jim Renacci a lobbyist while in Congress?'| 'When was Jim Renacci elected to Congress| and when was he a lobbyist?',How does Jim Renacci's background as a lobbyist affect his record as a Congress member?,6.836365931062249e-155
"“Stormy Daniels Announces Plans To Run For President""",'What source claims that Stormy Daniels will run for president?'| 'Where did the initial suggestion come from that Stormy Daniels will run for president?',2. When did Stormy Daniels publicly announce her plans to run for president?3. What are Stormy Daniels' qualifications to make a run for the presidency?,0.09881511482966875
Just last May the Department of Justice inspector general found that these (‘sanctuary city’) policies also violate federal law.,'What was the original statement by the Department of Justice inspector that investigated sanctuary cities?'| 'Do sanctuary cities cooperate with federal immigration policies?',2. Does the Department of Justice inspector general support the use of sanctuary cities?3. What evidence did the Department of Justice inspector general rely on to conclude that sanctuary cities violate federal law?4. What are the specific laws that the Department of Justice inspector general believes sanctuary cities violate?,0.08828781887996916
There are about as many members of the Armed Forces marching bands as there are American diplomats.,'How many members of the US State Department are diplomats?'| 'How many members of the US State Department are musicians| such as musicians in marching bands?'| 'How do these two quantities compare to each other?',3. What specific roles do the members of the Armed Forces marching bands have?4. How many members are in each Armed Forces marching band?5. What are the requirements for eligibility to become a diplomat in the US State Department?6. How often do the members of the marching bands perform?,0.08132816293351362
Rep. Paul Gosar asks Capitol Police to arrest illegal immigrants attending State of the Union.,'Why are the illegal immigrants attending State of the Union?'| 'What made Rep. Paul Gosar to ask for the arrest of the illegal immigrants?',2. What was the reaction of the Capitol Police to Rep. Paul Gosar's request?3. What consequences did the illegal immigrants attending State of the Union face?4. Was Rep. Paul Gosar’s request lawful?5. What did other government officials have to say about Rep. Paul Gosar’s request?6. Has Rep. Paul Gosar made similar requests in the past?,0.11437052033533178
Says Nancy Pelosi and Beto O’Rourke were photographed with El Chapo.,"'Has Nancy Pelosi ever been photographed with El Chapo?'| ""Has Beto O'Rourke ever been photographed with El Chapo?""",2. What was the purpose of Nancy Pelosi and Beto O’Rourke’s photograph with El Chapo?3. When and where did the photograph of Nancy Pelosi and Beto O’Rourke with El Chapo occur?4. What is the significance of the Nancy Pelosi and Beto O’Rourke photographs with El Chapo?5. Have there been other photographs of Nancy Pelosi and Beto O’Rourke with El,0.03649963240704604
IDC members also get tons of campaign money from real estate charter school and health care lobbyists some of whom are Republicans with connections to Trump,'Where do IDC members get campaign money from?'| 'Which organizations or people who donated to IDC members are connected to Donald Trump?'| 'Which people who donated to IDC members are Republicans?',3. How much money do IDC members receive from real estate charter school and health care lobbyists?4. How often do real estate charter school and health care lobbyists donate to IDC members?5. What other sources does IDC members get campaign money from?6. How do the IDC members use the money they receive from lobbyists? 7. Are the real estate charter school and healthcare lobbyists affiliated with a particular political party?8. Does the presence,0.0774716501415106
We are coming up on our 40th anniversary of electing a Republican to the United States Senate. 1972 was the last time New Jersey sent a Republican to the United States Senate.,'When was the last Republican from New Jersey elected to the United States Senate?'| 'How many years ago was 1972?',2. What year was it when the last Republican from New Jersey was elected to the United States Senate?3. How many years has the United States Senate been electing Republicans from New Jersey?4. What other states have sent Republican representatives to the United States Senate?5. How often have Republicans won Senate races in New Jersey?6. What special event was held to mark the 40th anniversary of Republicans being elected to the United States Senate?7. How many,0.12324154793349835
"“The problem with that particular bill is it became a $50 billion bill that was filled with unrelated pork. Two-thirds of that bill had nothing to do with Sandy.""","'What does ""pork"" mean related to government bills?'| 'What did the 50 billion dollar Hurricane Sandy Bill consist of?'| 'Did the 50 billion dollar Hurricane Sandy Bill consist of any spending unrelated to Hurricane Sandy?'",3. How much of the Sandy Bill was allocated to emergency needs?4. How did the addition of unrelated 'pork' items affect the costs of the bill?5. Who was responsible for adding the 'pork' items to the bill?6. How many people were negatively impacted by the bill?7. How did the addition of 'pork' items impact the timeline for the bill's passage?8. Are there any long-term affects,3.3424566934858732e-155
Right now in Ohio 200 000 people are getting opioid treatment because they have insurance under the Affordable Care Act.,'How many people in Ohio are getting opioid treatment?'| 'How many people in Ohio have insurance under the Affordable Care Act?'| 'How many people have the Affordable Care Act and are also getting opioid treatment?',1. What is the percentage of Ohioans receiving opioid treatment under the Affordable Care Act?2. What additional services are offered to those receiving opioid treatment under the Affordable Care Act?3. What measures are being taken to ensure that those receiving opioid treatment find long-term success?4. What other states offer similar treatments for opioid addiction under the Affordable Care Act?5. What proportion of opioid treatment is paid for under the Affordable Care Act?6. What type,0.05701447652842187
Hillary on child aliens in 2014: Send them back.,'What is the origin of the statement that Hillary Clinton said children arriving at the border should be sent back to their countries?'| 'Is the source credible?',2. When did Hillary specifically make this statement?3. What was the context and what were the reasons why she made this statement?4. What was Hillary's response when asked to clarify her position?5. What other measures did she propose in response to the influx of child migrants in 2014?6. Has Hillary maintained the same position on this issue over time?7. How did Hillary's statement compare to other political leaders' opinions on the issue?,1.0188775523521142e-231
Will Medicare stop covering cancer treatment under the GOP tax bill?,'Do tax bills contain hidden sections that could affect medical coverage for people with cancer?',1. Does Medicare provide coverage for people with cancer in the United States? 2. Is the GOP tax bill intended to reduce the cost of medical coverage?3. Will the GOP tax bill limit patient options when seeking cancer treatment?4. What is the timeline for the implementation of the GOP tax bill?5. Has any other government tax bill specifically impacted Medicare coverage for cancer treatment?6. What preventative health measures are still covered by Medicare under the GOP,0.04398085473438988
The Department of Justice the State Department and the FBI colluded got together to make Hillary Clinton look less guilty .,"""What is the source of the conversation between the FBI and the Department of Justice over Clinton's emails?""| 'Was Hillary Clinton aware of any discussion about her emails from the FBI?'","2. What evidence did the Department of Justice have to suggest that Hillary Clinton was guilty?3. What did the FBI and State Department decide to do in regards to the situation with Clinton's emails?4. What was the outcome of the FBI and Department of Justice's interaction with Clinton's emails?5. Was information regarding the emails between the Department of Justice, FBI, and State Department shared with Clinton?6. Was anything discussed during the meeting between the FBI,",0.07548342602853667
"An image of a woman buried up to her neck and drinking a spoonful of water was from Iran and taken just before she was stoned to death"" under Sharia Law.""",'What is the original source of the image of a woman buried in the ground sipping water?'| 'Is the image of a woman buried in the ground sipping water related to Iran and Sharia law?',,0
