tags,bleu,loss,rouge1,rouge2,rougeL,rougeLsum
"flan-t5-base, gpt_generated, query generation, question generation",0.11941127404815909,1.936168909072876,0.4371062311705751,0.2211989949822923,0.3928572326328914,0.3929903004639918
"gpt_generated, query generation, question generation, t5-base",0.12022033480300166,1.9596232175827024,0.4377090939523941,0.22265800505431976,0.393316503333215,0.3934675652699593
"bart-base, gpt_generated, query generation, question generation",0.13986685029677023,1.834348201751709,0.4542918845259074,0.24127953600425053,0.4096670807126378,0.4099481279662054
"claim_decomp, flan-t5-base, query generation, question generation",0.8905558749570321,0.2040608674287796,0.9680537344979192,0.9447380826573082,0.9628838217410312,0.963008779498884
"claim_decomp, query generation, question generation, t5-base",0.8903289183562357,0.19466203451156616,0.9685645753793588,0.945770679086589,0.9639138574625123,0.964011990880129
"bart-base, claim_decomp, query generation, question generation",0.8957074176403846,0.22853057086467743,0.971430994973824,0.9493016823585017,0.9671590579156364,0.9673370395989488
"faviq_a_set, flan-t5-base, query generation, question generation",0.8088251477309135,0.1656123399734497,0.912621959100359,0.8699490448114539,0.90394484699065,0.903925009869823
"faviq_a_set, query generation, question generation, t5-base",0.8117927893349929,0.17547865211963654,0.9149579384629828,0.8721084272141516,0.9055020651957756,0.9055599775134144
"bart-base, faviq_a_set, query generation, question generation",0.8293838494223057,0.21266579627990723,0.9249849245569286,0.8833083339297392,0.9161659328717996,0.9161324206326243
"fact_checking_briefs, flan-t5-base, query generation, question generation",0.07337560810511762,2.101318120956421,0.31659855203609055,0.12035714030992846,0.2919812515440202,0.29149589353307287
"fact_checking_briefs, query generation, question generation, t5-base",0.07726950000032952,2.1401822566986084,0.3178597588786841,0.11850288596767988,0.2917394330494867,0.29141349441571507
"bart-base, fact_checking_briefs, query generation, question generation",0.0982469863546879,2.0787441730499268,0.3402033668297054,0.15080365683489907,0.31236160684592895,0.31281955679043255
"faviq_r_set, flan-t5-base, query generation, question generation",0.8955107442633935,0.11873437464237212,0.9540322477036768,0.9192074802339922,0.9465265065073531,0.9465276683389988
"faviq_r_set, query generation, question generation, t5-base",0.8970356367953043,0.11678037792444228,0.955048778581857,0.9212672193233886,0.947991215281892,0.948140679396435
"bart-base, faviq_r_set, query generation, question generation",0.9034521006938464,0.13290277123451233,0.9592798576650272,0.9266623505669684,0.9524340602545736,0.9524564463088088
